Store Name,Address,Instagram,Store Type,City,# of Stores,State,ZIP Code,Customers,Brands,Categories,Specialties,Website,Phone,Facebook,Twitter
5 Points,"5 Points Market & Resturant, West 18th Street, Tucson, AZ 85701, United States of America",https://www.instagram.com/direct/t/120577856001470/,Supermarket,Tucson,2,AZ,85701,,fly_by_jing; graza,Produce; Dairy; Groceries; Apothecary; Treats; Fresh Flowers; Natural Wines; Eggs; Milk; Cheese,local; sustainable; organic; curated,,,,
609 Social Market & Provisions,"609 Bank St NE, Decatur, AL, 35601",https://www.instagram.com/direct/t/17843543868081149/,Deli/Prepared Foods,Decatur,1,AL,35601,,spice_walla,,,,,,
80 Acre Market,"10481 N US Hwy 259, Gilmer, TX, 75645",https://www.instagram.com/direct/t/117467216314654/,Independent Grocery,Gilmer,1,TX,75645,,spice_walla,,,,,,
80 Acres Farms,"Hamilton City Hall, 345 High Street, Hamilton, OH 45011, United States of America",https://www.instagram.com/direct/t/100224948042342/,Independent Grocery,Hamilton,1,OH,45011,,spice_walla,,,,,,
A Baked Joint,"Baked Joint, 430 K Street Northwest, Washington, DC 20001, United States of America",https://www.instagram.com/labettydc/,Wine/Beer/Liquor,Washington,1,DC,20001,,brightland; zabs_hot_sauce,Small Plates; Vinyl Music; Lunch; Breakfast; Wine; Coffee; Baked Goods,artisanal; sustainable; local; small-batch,https://abakedjoint.com/,(202) 408-6985,,
A.Mano Brooklyn,"585 Dean Street, Brooklyn, NY, 11238",https://instagram.com/amanobrooklyn,Boutique Grocer,Brooklyn,1,NY,11238,,brightland,Candles; Ceramics; Home Goods; Jewelry; Gifts; Books; Textiles; Art; Stationery; Fashion,artisanal; curated; sustainable; local,https://amanobrooklyn.com/,,https://facebook.com/amanobrooklyn,
Abbys Health And Nutrition,"14374 N Dale Mabry Highway, Tampa, FL 33618, United States of America",https://www.instagram.com/direct/t/104725270929017/,Health/Supplement Store,Tampa,4,FL,33618,Zuva,a_dozen_cousins; rishi_tea; behave; btr_bar; chomps; unreal_snacks; loisa; yolele,Supplements; Organic Produce; Vegan Options; Prepared Foods; Nutritional Consultations; Smoothies; Health Foods; Non-GMO Foods; Local Brands; Baked Goods,non-GMO; health-focused; sustainable; local; organic,,,https://www.facebook.com/abbyshealth,
Abundance Cooperative Market,"Abundance Food Co-op;Abundance Co-op, 571 South Avenue, City of Rochester, NY 14620, United States of America",https://www.instagram.com/abundancefoodcoop/,Co-op,Rochester,1,NY,14620,,a_dozen_cousins; rishi_tea,Bulk; Kitchen; Frozen; Refrigerated; Cheese; Dairy; Bakery; Produce; Meat & Seafood; Grocery,organic; local; sustainable; socially responsible,,,,
Acadia Provisions,"Acadia Provisions, 425 High Street, Ellsworth, ME 04605, United States of America",https://www.instagram.com/direct/t/110917720306546/,Deli/Prepared Foods,Ellsworth,1,ME,4605,,graza,,,,,,
Accord Market,"21 Main Street, Accord, NY 12404, USA",https://www.instagram.com/accordmkt,Supermarket,,4,NY,12404,,alice_mushrooms; bjorn_qorn; brightland; spice_walla; culture_pop; rishi_tea,Honey; Specialty Foods; Beverages; Local Produce; Syrups; Flowers; Dairy; Bakery; Prepared Foods; Meats,farm-to-table; artisanal; prepared foods; sustainable; local,,,,
Adelina Social Goods,"1235 Chattahoochee Avenue Northwest, Atlanta, GA, 30318",https://www.instagram.com/direct/t/112844660106002/,Deli/Prepared Foods,Atlanta,1,GA,30318,,spice_walla,,,,,,
Adorn,"119 West Salem, Indianola, IA 50125, USA",https://instagram.com/loveadorned,Boutique Grocer,,6,IA,50125,,alice_mushrooms; bjorn_qorn; brightland; zabs_hot_sauce; fish_wife; fly_by_jing; stellar_snacks,Jewelry; Vintage; Homewares; Apothecary; Decorative Arts; Clothing & Accessories; Stationery & Books; Kids; Living; New Arrivals; Home Decor; Gifts; Kitchenware; Candles; Stationery; Art; Furniture; Textiles; Garden Supplies; Seasonal Items; Clothing; Short Sleeve Tops; Long Sleeve Tops; Sweaters; Graphic Tees & Sweatshirts; Denim; Dresses; Lounge & Active; Outerwear; Accessories,curated; artisanal; vintage; sustainable; local; trendy,,,https://facebook.com/shopadornclothingco,
Affamata,"50 Water Street, Newburyport, MA 01950, United States of America",https://www.instagram.com/direct/t/119794112744905/,Independent Grocery,Newburyport,2,MA,1950,,joon; spice_walla,,,,,,
Aggregate Supply,"Aggregate Supply, Valencia Street, San Francisco, CA 90110, United States of America",https://www.instagram.com/direct/t/108020430594476,Independent Grocery,San Francisco,1,CA,94110,,diaspora_co,,,,,,
Agnello Market,"224 South Broad Street, Philadelphia, PA, 19102",https://www.instagram.com/direct/t/17843698937933062/,Independent Grocery,Philadelphia,1,PA,19102,,spice_walla,,,,,,
Ajs,"AJ’s Fine Foods, 7131 West Ray Road, Chandler, AZ 85226, United States of America",https://instagram.com/ajsfinefoods,Supermarket,Chandler,3,AZ,85226,,brightland; unreal_snacks; freestyle_snacking,Seafood; Gourmet-to-Go; Gourmet-To-Go; Gourmet Foods; Prepared Meals; Gift Baskets; Wines; Sandwiches; Bakery Items; Floral and Gifts; Gifts; Desserts; Chef-Prepared Meals; Floral; Artisan Confections; Produce; Prepared Foods; Gourmet Catering; Floral Arrangements; Decadent Desserts; Meat; Signature Sandwiches; Holiday Specials; Catering; Meat and Seafood,artisanal; prepared foods; gourmet; seasonal; curated; local; sustainable,,,https://www.facebook.com/AJsFineFoods,
Ajs Fine Foods,"AJ's Fine Foods, 23251 North Pima Road, Scottsdale, AZ 85255, United States of America",https://instagram.com/ajsfinefoods,Supermarket,Scottsdale,21,AZ,85255,,brightland; unreal_snacks; masa_chips; chomps; freestyle_snacking; rishi_tea,"Gourmet Foods; Prepared Meals; Wine and Spirits; Wines; Sandwiches; Bakery Items; Floral and Gifts; Floral; Floral Arrangements; Gift Baskets; Decadent Desserts; Signature Sandwiches; Holiday Dinners; Sushi; Baked Goods; Seafood; Gourmet-to-Go; Beverages; Wine; Gifts; Desserts; Chef-Prepared Meals; Wines and Spirits; Artisan Confections; Bakery; Produce; Prepared Foods; Gourmet Catering; Meat; Catering; Meat and Seafood; Wines, Beers, and Spirits; Baskets; Beadwork; Drawings & Prints; Fashion; Hopi Katsina Dolls; Jewelry; Paintings; Photography; Pottery; Sculpture",farm-to-table; artisanal; prepared foods; organic; gourmet; seasonal; curated; local; sustainable,,,https://www.facebook.com/AJsFineFoods,
Alexander Highland Market,"18111 Highland Market Dr, Baton Rouge, LA 70810, United States of America",https://www.instagram.com/direct/t/107844090611584/,Independent Grocery,Baton Rouge,1,LA,70810,,graza,,,,,,
Alexanders,"Tobacco on 1st, 1121 1st Avenue, New York, NY 10155, United States of America",https://www.instagram.com/AlexandersHighlandMarket/,Independent Grocery,New York,3,NY,10065,,behave; evies_snacks; loisa,Center Store; Meat; Produce; Alcohol; Bakery; Prepared Foods; Floral; Seafood; Sushi; Supplies,local; artisanal; prepared foods,,,https://www.facebook.com/AlexandersHighlandMarket,https://twitter.com/alexandersmktbr
Alkali Rye,"3256 Grand Avenue, Oakland, CA 94610, United States of America",https://instagram.com/sip.alkalirye,Boutique Grocer,Oakland,2,CA,94610,,brightland; pistakio; stellar_snacks; whims,Kitchen; Aromatized; Corporate Gifting; Wine; Gifts; Glassware; Liqueurs; Event Rentals; Beer; Pantry; Non-Alcoholic; Barware; Spirits,curated; artisanal; gourmet,http://alkalirye.com,(510) 488-3637,,
All Good Things,"404 West 8th Street, Dallas, TX 75208, United States of America",https://www.instagram.com/direct/t/102046524529928/,Independent Grocery,Dallas,1,TX,75208,,brightland,,,,(214) 579-9961,,
Alliannas Kitchen,"136 Woodford Drive, Evans City, PA 16033, United States of America",https://www.instagram.com/direct/t/104994407565648/,Independent Grocery,Evans City,1,PA,16033,,brightland; masa_chips,,,,,,
Alma,"2 Main Street, North Kingstown, RI 02852, United States of America",https://www.instagram.com/direct/t/108173583912403/,Independent Grocery,North Kingstown,1,RI,2852,,brightland; zabs_hot_sauce,,,,,,
Altitude,"Altitude, East Broadway Avenue, Jackson, WY 83001, United States of America",https://www.instagram.com/direct/t/119946102725498/,Independent Grocery,jackson,1,WY,83001,,brightland; fish_wife,,,,,,
Amana General,"4423 220th Trail, Amana, IA, 52203",https://www.instagram.com/direct/t/17846839722140307/,Gift/Specialty Shop,Amana,1,IA,52203,,spice_walla,,,,,,
Amie Bakery,"1254 Main Street, Osterville, MA 02655, United States of America",http://instagram.com/amiebakery,Bakery,Osterville,2,MA,2655,,pistakio; spice_walla,Baked Goods; Cakes; Catering; Breakfast; Lunch; Beverages; Cocktails; Pastry; eGift Cards; Classes,artisanal; local; gourmet; prepared foods,https://amiebakery.com/,(508) 428-1005,http://www.facebook.com/amiebakerycc,
áNdale Market,"Ándale Market, 5232 North Clark Street, Chicago, IL 60640, United States of America",https://www.instagram.com/andalemarket,Boutique Grocer,Chicago,2,IL,60640,,fish_wife; pistakio; spice_walla,Drinks; Charcuterie; Snacks; Pasta & Grains; Syrups & Spreads; Sauces & Condiments; Tinned Fish; Oils & Vinegars; Salts & Spices; Sweets,gourmet; imported; curated; local,,,https://www.facebook.com/andalemarket1/,
Andersons Market,"Anderson's Mill, Farm-to-Market Road 2769, Cedar Park, TX 78726, United States of America",https://www.instagram.com/direct/t/111990416864281/,Independent Grocery,,2,TX,78726,,blobs; graza; rishi_tea,,,,,,
Andrades Catch,"186 Wood Street, Bristol, RI 02809, United States of America",https://www.instagram.com/direct/t/114173269980816/,Independent Grocery,Bristol,1,RI,2809,,fish_wife; graza,,,,,,
Andrews Cheese Shop,"728 Montana Avenue, Santa Monica, CA 90403, United States of America",https://www.instagram.com/direct/t/114153576642411/,Independent Grocery,Santa Monica,2,CA,90403,,brightland; graza; fly_by_jing,,,,(310) 393-3308,,
Andys Artisan Bread,"201 E. Todd Street, Frankfort, KY, 40601",https://www.instagram.com/direct/t/17844122933369941/,Independent Grocery,Frankfort,1,KY,40601,,spice_walla,,,,,,
Annas Joint,"Anna's Joint, 443 Pine Avenue, Long Beach, CA 90813, United States of America",https://www.instagram.com/direct/t/17850313976770089/,Independent Grocery,Long Beach,3,CA,90802,,brightland; graza; freestyle_snacking; spice_walla,,,,,,
Apartment F,"1200 E. 11th Street, Suite #104, Austin, TX 78702, USA",https://instagram.com/apt.f,Boutique Grocer,,2,TX,78702,,alice_mushrooms; brightland; fly_by_jing,Rugs; Pillows; Home Goods; Pantry; Apothecary; Holiday; New Arrivals,artisanal; curated; handcrafted; one-of-a-kind,,,,
Apple Tree Natural Foods,"729 Louisville Road, Alcoa, TN 37701, United States of America",https://www.instagram.com/multicare,Supermarket,Alcoa,3,TN,37701,,graza; rishi_tea,,nonprofit; community engagement; compassionate care,,,https://www.facebook.com/multicare,
Apple Valley Natural Foods,"Apple Valley Natural Foods, 9067 Old US-31, Oronoko Charter Township, MI 49103, United States of America",https://www.instagram.com/applevalleynaturalfoods/,Natural/Organic Market,,3,MI,49103,Zuva,coconut_cult; freestyle_snacking; graza; unreal_snacks,Health Foods; Vegetarian Food; Gifts and Flowers; Honey; Oats; Granola; Vegetarian Foods; Whole Grains; Gifts; Chai; Breads; Flowers; Vegetarian Meat; Prepared Foods; Flours; Nuts,organic; vegan; local; sustainable; vegetarian; natural,,,https://facebook.com/profile.php?id=256991067665610,https://twitter.com/AppleVNF
Archestratus,"160 Huron Street, New York, NY 11222, United States of America",https://www.instagram.com/_archestratus_/,Independent Grocery,Brooklyn,1,NY,11222,,chikka_chikka,,,,,,
Arete Float Tank & Personal Optimization Studio,"203 E Braxton Foushee Street, Carrboro, NC 27510, United States of America",https://www.instagram.com/floatarete/,Independent Grocery,Carrboro,1,NC,27510,,brightland,,,,,,
Arrow Cocktail Lounge,"418 Poyntz Avenue, Manhattan, KS 66502, United States of America",https://www.instagram.com/arrowcocktaillounge/,Independent Grocery,Manhattan,1,KS,66502,,fish_wife; graza,,,,,,
Art & Soul,"5740 Hidcote Drive, Lincoln, NE 68516, United States of America",https://www.instagram.com/direct/t/117616852960556/,Independent Grocery,Lincoln,1,NE,68516,,graza,,,,,,
Art Cloth + Craft,"108 East 3rd Street, Jamestown, NY 14701, USA",https://instagram.com/artclothandcraft,Independent Grocery,,2,NY,14701,,alice_mushrooms; brightland; fish_wife,Clothing; Accessories; Beauty & Body; Crafts & Hobbies; Home & Garden; Gifts & Holiday; Men's Fashion; Baby & Kid's; Clearance; Art Supplies,handcrafted; unique gifts; local art; boutique clothing,,,https://facebook.com/artclothandcraft,
Art Mart,"Art Mart, 1705 South Prospect Avenue, Champaign, IL 61821, United States of America",https://www.instagram.com/shopartmart/,Supermarket,,1,IL,61821,,coconut_cult; graza,catering; groceries; bakery; wine; food; deli; gifts; clothing; toys; housewares,local; artisanal; prepared foods; gourmet,,,https://www.facebook.com/shopartmart,
Art Of Living Retreat Center,"2941 5th Ave n, St. Petersburg, FL 33707, USA",https://www.instagram.com/artofthetablegr/,Natural/Organic Market,,5,FL,33707,Zuva,alice_mushrooms; brightland; freestyle_snacking; realsy; zabs_hot_sauce,Acupuncture; Acupressure; Moxibustion; Cupping; Electric Stimulation; Dietary Recommendations; Herbal Therapies; Pain Management; Stress Reduction; Weight Control,holistic; therapeutic; natural; wellness,,,,
Arthouse And Company,"62 South Oak Street, San Buenaventura (Ventura), CA 93001, United States of America",https://www.instagram.com/arthouseandcompany/,Independent Grocery,Ventura,1,CA,93001,,brightland,,,,,,
Arthurs Market,"35 North Ferry Street, City of Schenectady, NY 12305, United States of America",https://www.instagram.com/direct/t/118283756223259/,Independent Grocery,Schenectady,2,NY,12305,,graza; zabs_hot_sauce; rishi_tea,,,,,,
Artisan Cheese Company,"550 Central Avenue, Sarasota, FL 34236, United States of America",https://www.instagram.com/artisancheesecompany,Independent Grocery,Sarasota,1,FL,34236,,brightland; graza,,,,(941) 951-7860,,
Asg Met,"Kirby Forensic Psychiatric Center, 600 Sunken Garden Loop, New York, NY 10029, United States of America",https://www.instagram.com/officeofmentalhealth/?hl=en,Independent Grocery,NEW YORK,7,NY,10035,,a_dozen_cousins; evies_snacks; glonuts,,,,,https://www.facebook.com/NYSOMH,https://twitter.com/NYSomh
Ashe County Cheese,"106 East Main Street, West Jefferson, NC, 28694",https://www.instagram.com/direct/t/101176951286833/,Independent Grocery,West Jefferson,1,NC,28694,,spice_walla,,,,,,
Ashley Mercantile,"105 1st Avenue Northeast, Cullman, AL, 35055",https://www.instagram.com/direct/t/120304629360349/,Independent Grocery,Cullman,1,AL,35055,,spice_walla,,,,,,
Aspen Grove,"Aspen Grove, 156 Riverside Avenue, Winthrop, WA 98862, United States of America",https://www.instagram.com/direct/t/115351116525238/,Boutique Grocer,Winthrop,2,WA,98862,,brightland; one_trick_pony; fly_by_jing,Cookbooks; Local Goods; Fine Foods; Home Decor,artisanal; gourmet; curated; local,,,https://www.facebook.com/AspenGroveHome,
Atelier,"Atelier, 337 Pierpont Avenue, Salt Lake City, UT 84101, United States of America",https://www.instagram.com/direct/t/102412501161542/,Independent Grocery,Salt Lake City,3,UT,84101,,brightland; graza; fish_wife; zabs_hot_sauce,,,,,,
Athens Cooks,"Farm Burger, 100 Prince Avenue, Athens, GA 30601, United States of America",https://www.instagram.com/direct/t/112881606770540/,Supermarket,Athens,4,GA,30601,,brightland; fish_wife; fly_by_jing; spice_walla,Grass-Finished Beef; Sustainable Foods; Beverages; Local Produce; Community Support; Seasonal Menu; Farm Birds; Dairy; Prepared Foods; Sustainable Practices; Catering; Fried Chicken Sandwiches; Artisanal Foods,farm-to-table; grass-fed; artisanal; prepared foods; sustainable; local,,(706) 623-3373,,
Atticus & Co.,"120 E Larkin St, Athens, TX, 75751",https://www.instagram.com/direct/t/109469920620592/,Independent Grocery,Athens,1,TX,75751,,spice_walla,,,,,,
Austins Homemade Ice Cream At The Market,"The Post Events & Ice Cream, 625 Deacon Street, Scranton, PA 18509, United States of America",https://www.instagram.com/theposteventsicecream/,Independent Grocery,,1,PA,18509,,graza,Ice Cream; Event Space,artisanal; local,,,https://www.facebook.com/theposteventsicecream/,
Avenue A Market,"106 Avenue A, Turner Falls, MA, 01376",http://instagram.com/avenueamarket,Supermarket,Turner Falls,2,MA,1376,,bjorn_qorn; chikka_chikka,Produce; Bulk Goods; Pantry Items; Alcoholic Beverages; Non-Alcoholic Beverages; Dairy; Eggs; Toilet Paper; Snacks; Specialty Foods; Yarn; Quilting Supplies; Upholstery Fabric; Sewing Supplies; Classes & Workshops; Donations; Membership; Braided-In Rugs; Fabric; Craft Supplies,local; sustainable; specialty foods; donated; affordable; community-focused,,,,
Avon Prime Meats,"Avon Prime Meats, 395 West Main Street, Avon, CT 06001, United States of America",https://instagram.com/avonprimemeats,Supermarket,Avon,2,CT,6001,,graza; one_trick_pony; rooted_fare,Seafood; Deli; Prepared Meals; Butcher; Pork; Lamb; BBQ Essentials; Poultry; Beef; Catering; Grocery,farm-to-table; prepared foods; gourmet; local,,,https://facebook.com/avonprimemeats,
B Collective,"B Collective, 3461 North Lincoln Avenue, Chicago, IL 60657, United States of America",https://www.instagram.com/_bcollective/,Boutique Grocer,Chicago,1,IL,60657,,brightland,Floral; Weddings & Special Events; Rentals; Workshops; Corporate Floral Therapy; Fresh Flower Bouquets; Custom Floral Design; Candle Club; Wellness Events; Vintage,artisanal; local; sustainable; curated,,,https://www.facebook.com/bcollectivechicago,
Baccos Wine & Cheese,"Bacco's Wine & Cheese, 31 Saint James Avenue, Boston, MA 02116, United States of America",https://www.instagram.com/baccoswineandcheese,Wine/Beer/Liquor,Boston,1,MA,2116,,fish_wife; loisa,Gift Cards; Cheese; Curated Gift Baskets; Charcuterie; Pantry; Gourmet Goods; Clubs; Wine; Catering,curated; artisanal; gourmet,,,,
Bachmans Floral,"2444 Enterprise Drive, Mendota Heights, MN 55120, United States of America",https://www.instagram.com/direct/t/120065902721053/,Independent Grocery,Mendota Heights,2,MN,55120,,graza; joon; spice_walla,,,,,,
Baileys Produce & Nursery,"Bailey's Produce & Nursery, 4301 North Davis Highway, Pensacola, FL 32503, United States of America",https://www.instagram.com/BAILEYSPRODUCE,Independent Grocery,Pensacola,2,FL,32503,,brightland; zabs_hot_sauce; spice_walla,Fruits; Perennials; Indoor Plants; Shrubs; Landscape Services; Pollinators; Outdoor Plants; Fruit Baskets; Delivery Services; Seasonal Produce; Roses; Produce; Herbs; Gift Baskets; Specialty Goods; Garden Center; Nursery; Annuals; Vegetables,farm-to-table; local; sustainable; seasonal,,,https://www.facebook.com/BaileysProduce/,
Bandidas Bake Shop,"1421 Camphor Drive, Lakeland, FL 33803, United States of America",https://www.instagram.com/bandidasbakeshop/,Bakery,Lakeland,1,FL,33803,,loisa; zabs_hot_sauce,,,,,,
Barber Brothers Meat & Provisions,"Pasta & Provisions, 1528 Providence Road, Charlotte, NC 28207, United States of America",https://www.instagram.com/barberbrosmaine/,Deli/Prepared Foods,,1,NC,28207,,blobs; chikka_chikka,Deli & Bakery; Turkey; Prepared Meals; Pork; Bread; Sausages; Wine; Lamb; Meat; Cheese; Fresh Pasta; Beer; Bakery; Produce; Lunch; Specialty Grocery; Italian Deli; Deli Items; Chicken; Catering,farm-to-table; artisanal; prepared foods; gourmet; curated; local,https://www.barberbrosmaine.com,,https://www.facebook.com/people/Barber-Bros-Meat-Provisions/100091392891009/,
Barrel Thief Wine & Provisions,"5805 Patterson Ave, Richmond, VA, 23226",https://www.instagram.com/barrelthief/,Wine/Beer/Liquor,Richmond,3,VA,23226,Zuva,bjorn_qorn; brightland; graza; fly_by_jing,Wines; Cheeses; Charcuterie; Snacks; Gourmet Foods; Craft Beers; Spirits; Prepared Foods; Condiments; Beverages,artisanal; curated; local; gourmet; small-batch,,,,
Barrier Islands Salt Co.,"Eastville Post Office, 5253 Willow Oak Road, Eastville, VA 23347, United States of America",https://www.instagram.com/direct/t/102489917820410/,Independent Grocery,Eastville,1,VA,23347,,brightland; fish_wife,,,,,,
Bartz Viviano Flowers & Gifts,"4505 Secor Road, Toledo, OH 43623, United States of America",https://www.instagram.com/direct/t/101274117940357/,Independent Grocery,Toledo,1,OH,43623,,brightland; spice_walla,,,,,,
Basics Natural Foods,"1711 Lodge Drive, Janesville, WI, 53545",http://instagram.com/BasicsCoop,Natural/Organic Market,Janesville,1,WI,53545,,yolele,natural groceries; organic groceries; vitamins and supplements; local beer; wine; spirits; sustainable housewares; bulk foods; prepared foods; catering,organic; local; sustainable; prepared foods,,,https://www.facebook.com/BasicsCooperativeNaturalFoods,
Batterby House,"608 Warren Street, Hudson, NY 12534, United States of America",https://www.instagram.com/batterbyhouse/,Independent Grocery,Hudson,1,NY,12534,,diaspora_co; spice_walla,,,,,,
Battleview Orchards,"91 Wemrock Road, Freehold, NJ, 7728",https://www.instagram.com/direct/t/105304267538764/,Independent Grocery,Freehold,1,NJ,7728,,spice_walla,,,,,,
Beans And Bananas,"Beans & Brews Coffee House, 2335 Fort Union Boulevard, Cottonwood Heights, UT 84121, United States of America",https://www.instagram.com/beansandbrews/,Independent Grocery,Jackson,3,UT,84121,,fly_by_jing; graza; spice_walla,,takeout; dine-in; drive-thru; free WIFI; craft; community; innovative; traditional,,,https://www.facebook.com/beansandbrews/,https://twitter.com/FertileGroundMS
Beardcats Sweet Shop,"Beardcat's Sweet Shop, 2063 Middle Street, Sullivan's Island, SC 29482, United States of America",https://www.instagram.com/direct/t/116287886427201/,Independent Grocery,,1,SC,29482,,graza,,,,,,
Beehive Natural Foods,"Beehive Juice Bar, 6490 Southwest 40th Street, Miami, FL 33155, United States of America",https://www.instagram.com/beehivejuicebar/,Deli/Prepared Foods,MIAMI,1,FL,33155,,a_dozen_cousins; rishi_tea,Soy Picadillo; Gourmet Foods; Prepared Meals; Juices; Snacks; Healthy Food; Vegan Options; Local Ingredients; Empanadas; Plant-Based,healthy; prepared foods; gourmet; local; plant-based; sustainable,,,https://facebook.com/Beehive-Juice-Bar-139285472773758/,
Bench Pressed,"2010 26th Avenue South, #2, Minneapolis, MN 55406, USA",Fishwife,Health/Supplement Store,,5,MN,55406,,alice_mushrooms; bjorn_qorn; fly_by_jing; brightland; zabs_hot_sauce; shuug; spice_walla,General Health; Vitamins; Nutritional Supplements; Post-Workout Meals; Vegetarian Options; Powerlifting; Publications; Greeting Cards; Apparel; Accessories; Home Decor; Bath & Body; Arts & Crafts; Food & Drink; Stationery; Seasonal Gifts; Kids & Baby,health; nutritional; supplements; vegetarian; fitness; artisanal; local; handmade; sustainable; community-focused,,,https://www.facebook.com/benchpressed/,https://www.centralparknyc.org/
Bent Creek Bistro,"100 Frederick Law Olmsted Way, Asheville, NC, 28806",https://www.instagram.com/direct/t/100506141350989/,Restaurant/Eatery,Asheville,1,NC,28806,,spice_walla,,,,,,
Bentonville Provisions,"219 South Main Street, Bentonville, AR 72712, United States of America",Fishwife,Deli/Prepared Foods,Bentonville,1,AR,72712,,fish_wife; graza,,,,,,
Beradu,"Ardea Salon & Gallery, 2 East Market Street, Black Mountain, NC 28711, United States of America",https://www.instagram.com/Beradu.BlkMtn,Independent Grocery,Black Mountain,3,NC,28711,,fish_wife; narra; pistakio,,specialty; restaurant; bar,,,,
Bernal Cutlery,"Bernal Cutlery, 766 Valencia Street, San Francisco, CA 90110, United States of America",https://www.instagram.com/bernalcutlery/,Boutique Grocer,San Francisco,1,CA,94110,,diaspora_co; pistakio,Sharpening Services; Books & Gifts; Bargain Bin; Kitchen Knives; House & Kitchen; Tableware; Knife Storage; Knife Care; Vintage; Cooking Tools; Cookware,artisanal; Japanese; Western; curated; sustainable; vintage,,,,
Bernies,"121 DeMers Avenue, East Grand Forks, MN 56721, United States of America",https://www.instagram.com/berniesegf/,Independent Grocery,East Grand Forks,2,MN,56721,,diaspora_co; fish_wife; fly_by_jing,,,,,,
Bespoke,"10098 Donner Pass Road, Truckee, CA 96161, United States of America",https://www.instagram.com/direct/t/107661823963800/,Independent Grocery,Truckee,1,CA,96161,,brightland; graza,,,,(530) 582-5500,,
Bespoke Atelier,"10098 Donner Pass Road, Truckee, CA, 96161",https://www.instagram.com/bespoketruckee/,Boutique Grocer,Truckee,2,CA,96161,,bjorn_qorn; diaspora_co; one_trick_pony,,local; artisanal; curated,,,https://www.facebook.com/BespokeTruckee,
Bespoke Post,"7700 Trade Port Drive, Louisville, KY, 40258",https://www.instagram.com/poliform/,Independent Grocery,Louisville,3,KY,40258,,brightland; stuzzi,Kitchens; Sofas; Armchairs; Tables; Chairs; Beds; Storage units; Accessories; Outdoor furniture; Contract services,artisanal; sustainable; gourmet; curated; international,,,https://www.facebook.com/poliform/,
Bestowe,"825 43rd Street, Oakland, CA 94608, United States of America",https://www.instagram.com/direct/t/116132616444861/,Independent Grocery,Oakland,1,CA,94608,,brightland,,,,,,
